Name,Address,Phone,Website,Rating,Open_Now,Maps_URL,Location
ASA Global Autos LTD,"New Bodija, 20 Oluyole Way, along favos, Ibadan 200221, Oyo, Nigeria",0805 227 2638,https://www.facebook.com/Asaglobalautosltd/,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJ5Tg49ESTORARVqT2JqyvRCw,Ibadan
Classy Cars,"Alakia Airport Junction, Ibadan 200223, Oyo, Nigeria",0816 684 5591,http://www.classycars.ng/,3.9,True,https://www.google.com/maps/place/?q=place_id:ChIJWSo3OtSTORARnYJCiIpVU6w,Ibadan
Footies Autos,"Block 7 Shop 2 New Motor Dealer Park, Akala Express way, New Garage Road, Ibadan 110115, Oyo, Nigeria",0803 273 1741,,4.2,False,https://www.google.com/maps/place/?q=place_id:ChIJwc3FFTKPORAR2NvNIaNelJo,Ibadan
ELBARIHCARS LTD EL-BARIHCARS NIG LTD,"TASKA shopping plaza, 21 Boluwaji Street, Odo Oba Rd, Ibadan 200263, Oyo, Nigeria",0905 553 5383,https://www.facebook.com/elbarihcars,4.9,True,https://www.google.com/maps/place/?q=place_id:ChIJlU8_QPGTORAR7lrL-gouXtA,Ibadan
Elizade Nigeria Limited Ibadan,"Sango Eleyele Road, opposite St Rita's Catholic Church, Ibadan 200285, Oyo, Nigeria",0907 004 0181,http://www.elizade.net/,4.4,False,https://www.google.com/maps/place/?q=place_id:ChIJOeDRTlaNORARdHMJgJ6TnBg,Ibadan
"K-Stone Motors Gbagi Ibadan (Also Swapping Of Vehicles,buying of used or toks if you need cash urgently car","9XW3+5RF Baba Adini Complex, opposite New Gbagi Market Road, Ibadan 200132, Oyo, Nigeria",0806 788 8998,,4.0,True,https://www.google.com/maps/place/?q=place_id:ChIJcYVeUQ-TORARVy2fDUgtEE4,Ibadan
D’Armani autos,"CWCQ+78M, Ibadan 200285, Oyo, Nigeria",0706 135 2036,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJ8ZkTJWztORAR4sI9-uyzynU,Ibadan
MGI Autos,"39 General Gas - Iyana Church Rd, Ibadan 223001, Oyo, Nigeria",0806 281 1324,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJyU7i-VvtORAR9SMrzT4bwCA,Ibadan
Hayzed motors,"Oke-ado, 199 Obafemi Awolowo Way, Southwest, Ibadan 100001, Oyo, Nigeria",0706 135 2036,,4.3,False,https://www.google.com/maps/place/?q=place_id:ChIJj6PiV1yNORAR35Xj5Pr0hTs,Ibadan
TEE-T MULTIVENTURES,"Suite 5, David and Paul Plaza, Joyce B Road, Adebiyi Street, New Gra, Ibadan 000234, Oyo, Nigeria",0805 438 6168,https://www.instagram.com/teetmultiventures,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJmYYv3jyNORARlAWUlZMNBz0,Ibadan
