Name,Address,Phone,Website,Rating,Open_Now,Maps_URL,Location
Filmhouse Cinemas IMAX Lekki Lagos,"10b Bisola Durosinmi Etti Dr, The Rock Dr, Lekki Phase 1, Lagos 106104, Lagos, Nigeria",0808 464 1767,http://filmhouseng.com/,4.5,,https://www.google.com/maps/place/?q=place_id:ChIJT9mxtrL1OxARYIb5uUREOjI,lagos
VIVA Cinemas Ikeja,"22 Simbiat Abiola Way, Ikeja, Lagos 101233, Lagos, Nigeria",0817 265 7928,http://www.vivacinemas.com/,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJD2fpqSmTOxAREVZwCtfiprA,lagos
Silverbird Cinemas - Ikeja,"174 / 194 Obafemi Awolowo Way, Ikeja City Mall, Alausa Ikeja, Oregun, Lagos 101233, Lagos, Nigeria",0902 606 7603,https://silverbirdcinemas.com/cinema/ikeja/,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJKQ9m5SKTOxAR8qUrS5kCovk,lagos
The Ozone e-centre tsboi,"Ozone e-centre, 1-11 Commercial Ave, Yaba, Lagos 101241, Lagos, Nigeria",0816 662 6015,http://ozonecinemas.com/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJZfOng16MOxARMdM_dXzgFAk,lagos
Genesis Deluxe Cinemas Maryland,"Funtasticaland, Ikorodu Rd, Lagos, Ikeja 105102, Lagos, Nigeria",0700 030 0300,http://www.genesiscinemas.com/,4.2,False,https://www.google.com/maps/place/?q=place_id:ChIJG-WGxxWTOxARA_10DP8tN4E,lagos
Filmhouse Cinemas Surulere,"30B Adeniran Ogunsanya St, Surulere, Lagos 101241, Lagos, Nigeria",0902 479 3085,https://filmhouseng.com/,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJyz9VCA2MOxARRAKobRYVKpc,lagos
Magnificent Cinemas,"180/184 Ikorodu Rd, Onipanu, Lagos 100001, Lagos, Nigeria",0701 646 9992,http://www.magnificentcinemas.com/,3.9,True,https://www.google.com/maps/place/?q=place_id:ChIJWwADqvaNOxARXmEthTtu6os,lagos
Genesis Cinemas Lagos,"Palms Shopping Mall, Lekki - Epe Expy, Maroko, Lagos 106104, Lagos, Nigeria",0700 030 0300,http://www.genesiscinemas.com/,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJa6bK5gL1OxARwQ8roLlAd2A,lagos
Filmworld Cinemas,"H77G+G3P, Ikotun - Idimu Rd, Egbe, Lagos 102213, Lagos, Nigeria",0806 036 6881,http://filmworldcinemas.com/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJb5ISqJSPOxARBY1BwWxKsJs,lagos
"Nile Cinemas, THC, Iju Road","4th Floor, Heritage Center, 101-232 Iju Rd, Ifako-Ijaiye, Lagos 012400, Lagos, Nigeria",0916 984 8171,https://www.cinemaxthc.ng/,4.4,,https://www.google.com/maps/place/?q=place_id:ChIJU-CidLKROxARwbj7vmG47tA,lagos
EbonyLife Cinemas,"EbonyLife Place, local government, 1637 Adetokunbo Ademola Street, Eti-Osa, Victoria Island 100211, Lagos, Nigeria",0906 800 0026,https://ebonylifecinemas.com/,4.5,True,https://www.google.com/maps/place/?q=place_id:ChIJdd6uVC31OxARME_Tp3eIFUg,lagos
Silverbird Galleria,"Silverbird Galleria, 133 Ahmadu Bello Wy, VI, Lagos 100211, Lagos, Nigeria",,https://silverbirdcinemas.com/,3.9,True,https://www.google.com/maps/place/?q=place_id:ChIJNSYYTMWKOxAR9n6lYFme8ZQ,lagos
Genesis Cinemas - Festac,"Amuwo Odofin Festival Mall, Festival Hotel Festac Lagos by Premium Swiss Hospitality, Festac Town, Lagos 102102, Lagos, Nigeria",0815 714 0000,https://genesiscinemas.com/festival-mall-festac-lagos/,4.2,,https://www.google.com/maps/place/?q=place_id:ChIJ95syta6JOxARYxaZ66OPdjY,lagos
Blue Pictures Cinema,"Mall, Lagos Island, Lagos 102273, Lagos, Nigeria",0708 744 8154,http://bluepicturesng.com/,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJLbew5MyLOxARZo8YZ5jNtGc,lagos
Filmhouse Cinemas MX4D,"landmark, 1 Water Corporation Dr, Maroko, Lagos 106104, Lagos, Nigeria",0808 464 1767,http://filmhouseng.com/,4.6,,https://www.google.com/maps/place/?q=place_id:ChIJLwLaTPX1OxARk0H7cjlG35Y,lagos
