Name,Status,Timestamp
SPAR Market Surulere,Added,2025-10-26 16:31:59.374213
Everbright Supermarkets,Added,2025-10-26 16:32:24.189914
Shoprite Adeniran,Added,2025-10-26 16:32:27.112481
D-ARENA SUPERMARKET SURULERE,Added,2025-10-26 16:32:31.929520
Eko Farmer's Mart Surulere,Added,2025-10-26 16:32:33.771630
TIPTOP SUPERSTORES,Added,2025-10-26 16:32:38.473146
Shoppable Supermarket,Added,2025-10-26 16:32:41.845597
Leisure Mall,Added,2025-10-26 16:32:44.806708
Bibbymart-Ogunlana,Added,2025-10-26 16:32:48.794092
The Label Store,Added,2025-10-26 16:32:52.502680
Supermarket Ogunlana,Added,2025-10-26 16:32:55.353469
Trolleys Superstore,Added,2025-10-26 16:33:00.502702
Royal Peace Supermarket,Added,2025-10-26 16:33:03.415483
Grandex Stores,Added,2025-10-26 16:33:05.479696
Spar Tejuosho,Added,2025-10-26 16:33:07.876949
Santex Supermarket,Added,2025-10-26 16:33:28.484868
Old English Superstores & Bakery,Added,2025-10-26 16:33:49.533216
Super Saver Supermarket,Added,2025-10-26 16:33:51.546796
DMart Supermarket,Added,2025-10-26 16:34:05.050175
Globus Supermarket,Added,2025-10-26 16:34:07.098216
Two Four Supermarket,Added,2025-10-26 16:34:09.938007
immaculate supermarket,Added,2025-10-26 16:34:11.751394
High Hills Supermarket,Added,2025-10-26 16:34:22.687916
Shop Direct,Added,2025-10-26 16:34:29.873631
Magic Mum Supermarket,Added,2025-10-26 16:34:32.696607
Zinaco supermarket,Added,2025-10-26 16:34:37.755467
D ROCK Supermarket,Added,2025-10-26 16:34:40.689975
Bibbymart-Aguda,Added,2025-10-26 16:34:44.942081
Goodluck Supermarket,Added,2025-10-26 16:34:46.950382
Bobak Supermarket,Added,2025-10-26 16:34:50.967818
RNice N Lovely,Added,2025-10-26 16:34:53.945802
Helen Key Supermarket,Added,2025-10-26 16:34:55.754238
Drug Mart Pharmacy & Supermarket,Added,2025-10-26 16:35:09.287681
Bokku! Mart Adeniran Ogunsanya,Added,2025-10-26 16:35:11.330020
Addide Store,Added,2025-10-26 16:35:16.749585
K and P Mart,Added,2025-10-26 16:35:18.689236
Dattose Supermarket,Added,2025-10-26 16:35:26.480362
Nazareth Supermarket,Added,2025-10-26 16:35:33.161793
Super Saver Supermarket,Added,2025-10-26 16:35:36.134117
Buy More supermarket Ha!,Added,2025-10-26 16:35:38.853290
Adeyeye Supermarket,Added,2025-10-26 16:35:40.626202
Healthrite Pharmacy & Supermart,Added,2025-10-26 16:35:43.509941
Bokku! Mart Lawanson,Added,2025-10-26 16:35:46.238495
Sambest Supermarket,Added,2025-10-26 16:35:48.037003
Bokku! Mart Randle,Added,2025-10-26 16:35:49.789866
Adeniran ogunsanya Shopping Mall,Added,2025-10-26 16:35:52.717093
Bokku! Mart 233 Ijesha,Added,2025-10-26 16:35:55.463579
Tropical Supermarket,Added,2025-10-26 16:35:58.305769
234 Stores Surulere,Added,2025-10-26 16:36:06.313881
Addide Ijesha,Added,2025-10-26 16:36:08.226213
"Bokku! Mart Ojuelegba rd, surulere",Added,2025-10-26 16:36:11.009704
Chi-Tina Supermarket,Added,2025-10-26 16:36:13.951039
Chibon SUPERMARKET,Added,2025-10-26 16:36:18.841668
Tuns supermarket,Added,2025-10-26 16:36:23.675359
"Super Saver Supermarket 66 Ikosi Road, Ikosi-Ketu Lagos",Duplicate,2025-10-26 16:36:24.711158
Goldchase supermarket,Added,2025-10-26 16:36:27.660353
Tony Vegas Supermarket,Added,2025-10-26 16:36:34.386085
Downtown Supermarket,Added,2025-10-26 16:36:38.513930
"Bokku! Mart Akpoguma Street, Surulere",Duplicate,2025-10-26 16:36:39.571286
Ego Supermarket,Added,2025-10-26 16:36:46.645990
