Name,Address,Phone,Website,Rating,Open_Now,Maps_URL,Location
SPAR Market Surulere,"Adeniran Ogunsanya St, Surulere, Lagos 101211, Lagos, Nigeria",0807 059 2875,https://www.sparnigeria.com/,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJmYcC1CKNOxARXMgUkf3b0Lo,Surulere
Everbright Supermarkets,"83 Bode Thomas St, Surulere, Lagos 101212, Lagos, Nigeria",14540560,,4.4,True,https://www.google.com/maps/place/?q=place_id:ChIJ06Yf_QyMOxARTtVgjnzNQnk,Surulere
Shoprite Adeniran,"Adeniran Ogunsanya St, Surulere, Lagos 101241, Lagos, Nigeria",17300476,https://shoprite.ng/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJ-yPrqA2MOxARoAhNfwVQD-4,Surulere
D-ARENA SUPERMARKET SURULERE,"2, Ajao Street, by Olufemi Street, Off Ogunlana Dr, Surulere, Lagos 101241, Lagos, Nigeria",0906 650 3455,http://www.darena.com.ng/,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJ_wTxbH2NOxARBxRqefuQTCc,Surulere
Eko Farmer's Mart Surulere,"46 Benson St, Surulere, Lagos 101283, Lagos, Nigeria",0705 643 2789,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJO0h5Y0CMOxARdcycgGiGxDM,Surulere
TIPTOP SUPERSTORES,"11 Ogunlana Dr, Surulere, Lagos 101283, Lagos, Nigeria",0816 831 2602,,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJt9X4mQaNOxARk-8TbWXLjOI,Surulere
Shoppable Supermarket,"local government area, 119 Ogunlana Dr, Surulere, Lagos 101283, Lagos, Nigeria",0813 083 5650,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJhReXkBeNOxARPReNwuMvJu8,Surulere
Leisure Mall,"Street, Lagos 101241, Lagos, Nigeria",,,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJNVdUreGNOxAR-T3dM7c19-0,Surulere
Bibbymart-Ogunlana,"57 Ogunlana Dr, Surulere, Lagos 101241, Lagos, Nigeria",0811 199 5534,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJNb9-tp-NOxARWXPQXfoGCho,Surulere
The Label Store,"25 Adetola St, Ijesha Tedo, Lagos 101241, Lagos, Nigeria",0802 278 5423,http://www.thelabelstores.com/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJGzfOCHuPOxARSD0Qx7e954k,Surulere
Supermarket Ogunlana,"24 Ogunlana Dr, Ikate, Lagos 101283, Lagos, Nigeria",,,3.7,True,https://www.google.com/maps/place/?q=place_id:ChIJ1WbNjTuMOxARAAjS24FotrY,Surulere
Trolleys Superstore,"2 Industrial Ave, Sabo yaba, Lagos 101245, Lagos, Nigeria",0703 281 2550,,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJ9XfT9guNOxARbRiBUpXWl5Y,Surulere
Royal Peace Supermarket,"101 Babs Animashaun Rd, Iganmu, Lagos 101241, Lagos, Nigeria",0912 154 1125,,4.8,True,https://www.google.com/maps/place/?q=place_id:ChIJwddttkmNOxARIEHGqA9r5ls,Surulere
Grandex Stores,"63 Adelabu St, Surulere, Lagos 101241, Lagos, Nigeria",0803 306 2375,,3.9,True,https://www.google.com/maps/place/?q=place_id:ChIJuZvTnxCMOxARL0MpXe8Mv98,Surulere
Spar Tejuosho,"Shop F2069, Tejuosho Shopping Complex, ￼, Yaba, Lagos 100001, Lagos, Nigeria",0803 465 8112,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJl4XT5l-NOxARTlw1ehsK3vU,Surulere
