Name,Address,Phone,Website,Rating,Open_Now,Maps_URL,Location
Trolleys Superstore,"2 Industrial Ave, Sabo yaba, Lagos 101245, Lagos, Nigeria",0703 281 2550,,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJ9XfT9guNOxARbRiBUpXWl5Y,yaba
Mallmart Supermarket,"266 Herbert Macaulay Wy, Yaba, Lagos 101245, Lagos, Nigeria",0909 993 2555,,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJuXW2vwuLOxAROHx01J58Vs8,yaba
HANDY BASKET SUPERSTORE,"sufficient grace build, ground floor, Fola Agoro St, beside Amigo filling statuon, Yaba, Lagos 101245, Lagos, Nigeria",0701 313 3633,,4.0,True,https://www.google.com/maps/place/?q=place_id:ChIJQbePldeNOxARTAl_z8tARzw,yaba
Spar Tejuosho,"Shop F2069, Tejuosho Shopping Complex, ￼, Yaba, Lagos 100001, Lagos, Nigeria",0803 465 8112,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJl4XT5l-NOxARTlw1ehsK3vU,yaba
LAIT STORES,"Onike Rd, Yaba, Lagos 100001, Lagos, Nigeria",,,3.9,True,https://www.google.com/maps/place/?q=place_id:ChIJyZ0bt_aMOxARum2fFYUl0vE,yaba
Tonyson Pharmacy and Stores,"47A Simpson St, Adekunle St, Yaba, Lagos 101212, Lagos, Nigeria",0802 303 9766,http://www.tonyson.ng/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJpzB44YeMOxARPaa6NA92roA,yaba
D-ARENA SUPERMARKET YABA,"30, BY Hughes Ave, Adegunwa St, Yaba, Lagos 101245, Lagos, Nigeria",0704 996 8736,,4.5,True,https://www.google.com/maps/place/?q=place_id:ChIJ6dVhidyNOxARhcy5CVO3c00,yaba
QMART SUPERMARKET,"41 St Finbarr's College Rd, Akoka, Lagos 100001, Lagos, Nigeria",0811 782 0105,,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJiZKXJPiNOxARG7y0SjZkfzY,yaba
Melody Supermarket,"32 Maye St, Yaba, Lagos 101245, Lagos, Nigeria",,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJ3w9kDlyMOxARzMqOuA4U2Bs,yaba
Lifeback Pharmacy and Store Limited,"Old Yabaroad Adekunle, 36 Makoko Rd, Yaba, Lagos 101212, Lagos, Nigeria",0803 988 8848,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJEecqbIiMOxARz4XhngbeLoA,yaba
Addide Iwaya,"Onike Rd, Yaba, Lagos 100283, Lagos, Nigeria",0802 433 5079,http://addide.com/,3.8,True,https://www.google.com/maps/place/?q=place_id:ChIJF8mZL_KMOxARpZAM0SJD7fI,yaba
Staplestores,"319 Borno Way, Yaba, Lagos 101245, Lagos, Nigeria",0901 813 9300,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJ8zhYPGKMOxARVm1fw3mapOc,yaba
Yem-Yem Superstores LUTH,"The Plaza Lagos University Teaching Hospital, Rd 1, Idi Oro, Lagos 102215, Lagos, Nigeria",0818 046 9652,http://yemyem.com/,4.0,True,https://www.google.com/maps/place/?q=place_id:ChIJlw5cvjaMOxAR7NW884RTN3k,yaba
Everbright Supermarkets,"83 Bode Thomas St, Surulere, Lagos 101212, Lagos, Nigeria",14540560,,4.4,True,https://www.google.com/maps/place/?q=place_id:ChIJ06Yf_QyMOxARTtVgjnzNQnk,yaba
"Bokku! Mart Herbert Macaulay way, Yaba","301 Herbert Macaulay way, Spencer bus-stop,Alagomeji-Yaba, Local Government, Yaba, Ikeja 100001, Lagos, Nigeria",,,3.6,True,https://www.google.com/maps/place/?q=place_id:ChIJz8jG0G-NOxARNyzVlab1d3A,yaba
"Yem-Yem Supermarket, University of Lagos, Akoka Campus","Unilag Main Shopping Complex, University of Lagos Campus, Dan Fodio St, Yaba, Lagos 101245, Lagos, Nigeria",,http://yemyem.com/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJI-J6cOSMOxAR4Nzx7i_7DK8,yaba
Megaland Supermarket,"27 Olonode St, Alagomeji-Yaba, Lagos 101245, Lagos, Nigeria",,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJLYad9WGMOxARvCrPQxwQowE,yaba
ONYITEX Supermarket,"30 Akinwunmi St, Yaba, Lagos 101241, Lagos, Nigeria",0706 242 1928,,4.6,True,https://www.google.com/maps/place/?q=place_id:ChIJxb53Y4qMOxARlBmNdz1Mcd8,yaba
Seamon Supermarket,"Sabo Yaba, Shop No. 4, Sabo Market, Commercial Ave, Sabo yaba, Lagos 101245, Lagos, Nigeria",0708 045 2355,,4.0,True,https://www.google.com/maps/place/?q=place_id:ChIJmeTKcF-MOxAR0unJem5Kg0k,yaba
Super Saver Supermarket,"8 Asa-Afariogun St, Ajao Estate, Lagos 102214, Lagos, Nigeria",0906 469 7631,http://www.supersaver.com.ng/,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJ-f1jiKWPOxARAUqIn9EDfv4,yaba
ONUWA SUPERSTORE,"20 University Rd, Yaba, Lagos 100001, Lagos, Nigeria",0806 778 0783,,,True,https://www.google.com/maps/place/?q=place_id:ChIJXcGqkxuNOxAR9nyamQ8xAuc,yaba
I Y International Store,"Queen St, Alagomeji-Yaba, Lagos 101245, Lagos, Nigeria",,,4.0,True,https://www.google.com/maps/place/?q=place_id:ChIJsUQxgYqMOxARw8bQF7-9QsM,yaba
Shoprite Adeniran,"Adeniran Ogunsanya St, Surulere, Lagos 101241, Lagos, Nigeria",17300476,https://shoprite.ng/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJ-yPrqA2MOxARoAhNfwVQD-4,yaba
Agape Super Store,"Shop B 105, Sabo Model Market, Commercial Ave, Yaba, Lagos 101245, Lagos, Nigeria",0803 853 4416,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJRf11gM-NOxAR1JTERR7e-AM,yaba
Tokio Supermarkets,"No 5 abudu street, off University Rd, Yaba, Lagos 101245, Lagos, Nigeria",0703 891 7664,,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJf-3CdbGNOxARghF4KOWm64U,yaba
The Ozone e-centre tsboi,"Ozone e-centre, 1-11 Commercial Ave, Yaba, Lagos 101241, Lagos, Nigeria",0816 662 6015,http://ozonecinemas.com/,4.1,True,https://www.google.com/maps/place/?q=place_id:ChIJZfOng16MOxARMdM_dXzgFAk,yaba
Tejuosho Shopping Center,"Popo mini plaza, opposite Yaba tejuosho shopping complex, Yaba, Lagos 101241, Lagos, Nigeria",0816 415 2829,,4.2,True,https://www.google.com/maps/place/?q=place_id:ChIJJ1ItoUSMOxAROg5Xz_JVeVQ,yaba
"Bokku! Mart, Owodunni, Iwaya, Yaba","20 Owodunni St, Iwaya, Lagos 101245, Lagos, Nigeria",,http://www.bokku.com/,3.6,True,https://www.google.com/maps/place/?q=place_id:ChIJa0_nIACNOxARINh1vpuWyJY,yaba
